id_cliente,fecha_actualizacion,tipo_empleo,empresa,sector_economico,cargo,antiguedad_meses,ingreso_mensual,tipo_contrato,ciudad,estado_empleo
C00001,2026-02-05,INDEPENDIENTE,Actividad independiente,Comercio,Comerciante,192,5937.87,INDEPENDIENTE,Oruro,ACTIVO
C00002,2026-03-01,DEPENDIENTE,Empresa 323,Servicios,Supervisor,111,2992.63,TEMPORAL,Tarija,ACTIVO
C00003,2026-05-31,DEPENDIENTE,Empresa 559,Salud,Asistente,182,10946.59,TEMPORAL,Potosi,ACTIVO
C00004,2026-02-09,INDEPENDIENTE,Actividad independiente,Educacion,Consultor,181,7782.68,INDEPENDIENTE,Potosi,ACTIVO
C00005,2026-07-26,DEPENDIENTE,Empresa 370,Banca,Consultor,94,15636.16,INDEFINIDO,Oruro,ACTIVO
C00006,2026-08-15,DEPENDIENTE,Empresa 733,Tecnologia,Comerciante,23,11056.63,PLAZO_FIJO,Tarija,ACTIVO
C00007,2026-03-01,DEPENDIENTE,Empresa 975,Comercio,Supervisor,61,14482.56,TEMPORAL,Sucre,ACTIVO
C00008,2026-06-21,INDEPENDIENTE,Actividad independiente,Salud,Comerciante,44,7127.26,INDEPENDIENTE,Oruro,ACTIVO
C00009,2026-04-29,INDEPENDIENTE,Actividad independiente,Industria,Comerciante,139,11614.08,INDEPENDIENTE,Cochabamba,INACTIVO
C00010,2026-02-28,INDEPENDIENTE,Actividad independiente,Banca,Comerciante,178,6553.53,INDEPENDIENTE,Potosi,ACTIVO
C00011,2026-02-24,DEPENDIENTE,Empresa 422,Transporte,Director,236,17115.1,INDEFINIDO,Sucre,ACTIVO
C00012,2026-05-24,INDEPENDIENTE,Actividad independiente,Servicios,Profesional independiente,70,4245.38,INDEPENDIENTE,Cochabamba,ACTIVO
C00013,2026-05-07,DEPENDIENTE,Empresa 621,Comercio,Gerente,105,8110.94,TEMPORAL,Potosi,ACTIVO
C00014,2026-01-17,DEPENDIENTE,Empresa 710,Industria,Administrador,43,14777.23,TEMPORAL,Sucre,ACTIVO
C00015,2026-07-04,DEPENDIENTE,Empresa 796,Comercio,Analista,144,15842.09,PLAZO_FIJO,Oruro,ACTIVO
C00016,2026-04-27,INDEPENDIENTE,Actividad independiente,Banca,Comerciante,31,6168.75,INDEPENDIENTE,Oruro,ACTIVO
C00017,2026-06-10,DEPENDIENTE,Empresa 991,Salud,Supervisor,198,5269.1,TEMPORAL,Potosi,ACTIVO
C00018,2026-08-25,DEPENDIENTE,Empresa 897,Servicios,Tecnico,98,14318.92,INDEFINIDO,La Paz,ACTIVO
C00019,2026-03-03,DEPENDIENTE,Empresa 414,Banca,Especialista,240,8126.2,INDEFINIDO,Santa Cruz,ACTIVO
C00020,2026-01-18,JUBILADO,Sistema de Pensiones,Servicios,Jubilado,190,5504.74,JUBILACION,Potosi,ACTIVO
C00021,2026-04-19,INDEPENDIENTE,Actividad independiente,Educacion,Profesional independiente,70,9095.92,INDEPENDIENTE,Tarija,ACTIVO
C00022,2026-04-06,INDEPENDIENTE,Actividad independiente,Transporte,Profesional independiente,105,14939.37,INDEPENDIENTE,Tarija,ACTIVO
C00023,2026-05-31,DEPENDIENTE,Empresa 335,Educacion,Tecnico,89,2826.03,INDEFINIDO,La Paz,ACTIVO
C00024,2026-01-19,INDEPENDIENTE,Actividad independiente,Servicios,Consultor,20,13817.75,INDEPENDIENTE,Santa Cruz,ACTIVO
C00025,2026-05-02,DEPENDIENTE,Empresa 690,Educacion,Consultor,36,13711.96,TEMPORAL,Potosi,ACTIVO
C00026,2026-04-16,DEPENDIENTE,Empresa 533,Transporte,Ingeniero,27,12714.23,INDEFINIDO,Potosi,ACTIVO
C00027,2026-07-24,INDEPENDIENTE,Actividad independiente,Comercio,Consultor,18,7532.77,INDEPENDIENTE,Santa Cruz,ACTIVO
C00028,2026-08-12,DEPENDIENTE,Empresa 355,Comercio,Vendedor,111,5344.06,INDEFINIDO,Sucre,ACTIVO
C00029,2026-01-04,EMPRESARIO,Empresa PYME 956,Comercio,Gerente,15,21303.62,PROPIETARIO,Potosi,ACTIVO
C00030,2026-02-12,DEPENDIENTE,Empresa 160,Industria,Administrador,126,5813.08,PLAZO_FIJO,La Paz,INACTIVO
C00031,2026-05-23,DEPENDIENTE,Empresa 902,Transporte,Director,76,9056.62,PLAZO_FIJO,Santa Cruz,ACTIVO
C00032,2026-03-22,DEPENDIENTE,Empresa 865,Banca,Analista,151,13903.93,INDEFINIDO,La Paz,ACTIVO
C00033,2026-08-06,DEPENDIENTE,Empresa 182,Construccion,Tecnico,43,3381.63,TEMPORAL,La Paz,ACTIVO
C00034,2026-03-05,INDEPENDIENTE,Actividad independiente,Agricultura,Profesional independiente,106,3998.58,INDEPENDIENTE,Tarija,ACTIVO
C00035,2026-02-22,DEPENDIENTE,Empresa 367,Tecnologia,Ingeniero,152,11261.02,TEMPORAL,Santa Cruz,ACTIVO
C00036,2026-01-03,DEPENDIENTE,Empresa 174,Transporte,Especialista,79,9586.98,TEMPORAL,Tarija,INACTIVO
C00037,2026-03-09,JUBILADO,Sistema de Pensiones,Construccion,Jubilado,140,3649.45,JUBILACION,Cochabamba,ACTIVO
C00038,2026-03-19,EMPRESARIO,Empresa PYME 820,Agricultura,Gerente,75,8943.67,PROPIETARIO,Potosi,ACTIVO
C00039,2026-02-04,DEPENDIENTE,Empresa 999,Salud,Supervisor,79,16942.22,TEMPORAL,La Paz,ACTIVO
C00040,2026-07-03,INDEPENDIENTE,Actividad independiente,Tecnologia,Comerciante,72,6021.95,INDEPENDIENTE,Santa Cruz,ACTIVO
C00041,2026-06-12,EMPRESARIO,Empresa PYME 194,Industria,Propietario,67,27633.41,PROPIETARIO,Potosi,ACTIVO
C00042,2026-04-24,DEPENDIENTE,Empresa 859,Servicios,Gerente,166,17686.87,INDEFINIDO,Oruro,ACTIVO
C00043,2026-01-10,DEPENDIENTE,Empresa 658,Tecnologia,Gerente,229,13210.8,INDEFINIDO,Tarija,ACTIVO
C00044,2026-01-11,DEPENDIENTE,Empresa 981,Tecnologia,Especialista,81,8152.1,INDEFINIDO,Santa Cruz,ACTIVO
C00045,2026-09-07,INDEPENDIENTE,Actividad independiente,Agricultura,Consultor,202,9498.54,INDEPENDIENTE,Oruro,ACTIVO
C00046,2026-08-14,JUBILADO,Sistema de Pensiones,Industria,Jubilado,207,7713.25,JUBILACION,La Paz,ACTIVO
C00047,2026-07-08,JUBILADO,Sistema de Pensiones,Educacion,Jubilado,208,6755.37,JUBILACION,Cochabamba,ACTIVO
C00048,2026-02-26,INDEPENDIENTE,Actividad independiente,Educacion,Consultor,226,2984.06,INDEPENDIENTE,Potosi,ACTIVO
C00049,2026-03-26,DEPENDIENTE,Empresa 508,Salud,Asistente,60,2866.8,INDEFINIDO,Potosi,ACTIVO
C00050,2026-08-04,INDEPENDIENTE,Actividad independiente,Servicios,Profesional independiente,167,8867.57,INDEPENDIENTE,Cochabamba,ACTIVO
C00051,2026-01-28,DEPENDIENTE,Empresa 139,Agricultura,Contador,48,11499.14,PLAZO_FIJO,Sucre,ACTIVO
C00052,2026-04-09,INDEPENDIENTE,Actividad independiente,Agricultura,Comerciante,158,14802.95,INDEPENDIENTE,Santa Cruz,ACTIVO
C00053,2026-06-25,INDEPENDIENTE,Actividad independiente,Educacion,Profesional independiente,136,14069.69,INDEPENDIENTE,Cochabamba,ACTIVO
C00054,2026-08-06,JUBILADO,Sistema de Pensiones,Comercio,Jubilado,162,4334.63,JUBILACION,Oruro,ACTIVO
C00055,2026-05-22,DEPENDIENTE,Empresa 402,Construccion,Director,107,7555.84,TEMPORAL,Santa Cruz,ACTIVO
C00056,2026-04-14,JUBILADO,Sistema de Pensiones,Servicios,Jubilado,160,6069.92,JUBILACION,Potosi,ACTIVO
C00057,2026-04-30,DEPENDIENTE,Empresa 429,Transporte,Comerciante,204,11489.76,PLAZO_FIJO,Sucre,ACTIVO
C00058,2026-06-19,DEPENDIENTE,Empresa 627,Agricultura,Contador,46,12712.19,TEMPORAL,Cochabamba,ACTIVO
C00059,2026-07-26,JUBILADO,Sistema de Pensiones,Educacion,Jubilado,175,4310.85,JUBILACION,Santa Cruz,ACTIVO
C00060,2026-04-17,DEPENDIENTE,Empresa 566,Agricultura,Supervisor,159,15670.93,PLAZO_FIJO,Santa Cruz,ACTIVO
C00061,2026-08-17,DEPENDIENTE,Empresa 105,Comercio,Director,65,4787.36,PLAZO_FIJO,Potosi,ACTIVO
C00062,2026-08-23,DEPENDIENTE,Empresa 355,Comercio,Tecnico,135,9700.52,TEMPORAL,Sucre,ACTIVO
C00063,2026-06-06,DEPENDIENTE,Empresa 553,Servicios,Especialista,146,11729.51,TEMPORAL,Sucre,ACTIVO
C00064,2026-07-12,DEPENDIENTE,Empresa 365,Educacion,Vendedor,193,15853.17,INDEFINIDO,Potosi,ACTIVO
C00065,2026-01-20,INDEPENDIENTE,Actividad independiente,Salud,Consultor,163,5490.57,INDEPENDIENTE,Santa Cruz,ACTIVO
C00066,2026-06-27,DEPENDIENTE,Empresa 492,Construccion,Asistente,23,4644.8,TEMPORAL,Oruro,ACTIVO
C00067,2026-08-02,DEPENDIENTE,Empresa 311,Industria,Analista,141,9721.83,PLAZO_FIJO,Sucre,ACTIVO
C00068,2026-04-08,DEPENDIENTE,Empresa 689,Transporte,Especialista,8,15779.35,TEMPORAL,La Paz,INACTIVO
C00069,2026-07-11,DEPENDIENTE,Empresa 651,Servicios,Administrador,221,16320.44,PLAZO_FIJO,Potosi,ACTIVO
C00070,2026-03-28,DEPENDIENTE,Empresa 498,Industria,Analista,72,9255.46,INDEFINIDO,Oruro,ACTIVO
C00071,2026-05-25,DEPENDIENTE,Empresa 706,Banca,Administrador,162,10778.92,INDEFINIDO,La Paz,ACTIVO
C00072,2026-02-24,DEPENDIENTE,Empresa 435,Transporte,Administrador,49,3279.41,PLAZO_FIJO,Cochabamba,ACTIVO
C00073,2026-08-02,EMPRESARIO,Empresa PYME 358,Comercio,Director,195,28780.1,PROPIETARIO,Sucre,ACTIVO
C00074,2026-01-11,DEPENDIENTE,Empresa 767,Banca,Especialista,60,12577.23,PLAZO_FIJO,Santa Cruz,ACTIVO
C00075,2026-05-25,DEPENDIENTE,Empresa 217,Educacion,Comerciante,64,4456.43,INDEFINIDO,Sucre,ACTIVO
C00076,2026-07-03,INDEPENDIENTE,Actividad independiente,Comercio,Profesional independiente,158,10090.59,INDEPENDIENTE,Potosi,ACTIVO
C00077,2026-03-21,JUBILADO,Sistema de Pensiones,Agricultura,Jubilado,151,2374.61,JUBILACION,Oruro,ACTIVO
C00078,2026-06-10,DEPENDIENTE,Empresa 950,Educacion,Director,53,3677.95,TEMPORAL,La Paz,ACTIVO
C00079,2026-07-20,DEPENDIENTE,Empresa 679,Banca,Especialista,156,14985.68,TEMPORAL,Cochabamba,ACTIVO
C00080,2026-08-06,INDEPENDIENTE,Actividad independiente,Industria,Comerciante,132,10594.29,INDEPENDIENTE,Potosi,ACTIVO
C00081,2026-02-09,DEPENDIENTE,Empresa 824,Industria,Vendedor,165,16319.41,PLAZO_FIJO,Santa Cruz,ACTIVO
C00082,2026-05-18,JUBILADO,Sistema de Pensiones,Transporte,Jubilado,160,7695.75,JUBILACION,Sucre,ACTIVO
C00083,2026-03-13,INDEPENDIENTE,Actividad independiente,Transporte,Comerciante,85,13146.41,INDEPENDIENTE,Santa Cruz,ACTIVO
C00084,2026-03-25,DEPENDIENTE,Empresa 971,Construccion,Vendedor,100,7714.15,TEMPORAL,Sucre,ACTIVO
C00085,2026-08-14,INDEPENDIENTE,Actividad independiente,Salud,Profesional independiente,74,13504.0,INDEPENDIENTE,Tarija,ACTIVO
C00086,2026-05-06,JUBILADO,Sistema de Pensiones,Servicios,Jubilado,64,7096.51,JUBILACION,Potosi,ACTIVO
C00087,2026-03-17,DEPENDIENTE,Empresa 195,Educacion,Analista,128,9446.71,TEMPORAL,Sucre,ACTIVO
C00088,2026-04-19,DEPENDIENTE,Empresa 452,Servicios,Tecnico,97,9835.54,TEMPORAL,Cochabamba,ACTIVO
C00089,2026-03-22,DEPENDIENTE,Empresa 297,Comercio,Director,67,6073.34,PLAZO_FIJO,Oruro,ACTIVO
C00090,2026-03-12,INDEPENDIENTE,Actividad independiente,Agricultura,Consultor,52,5204.81,INDEPENDIENTE,Potosi,ACTIVO
C00091,2026-02-15,DEPENDIENTE,Empresa 469,Salud,Asistente,216,5508.82,INDEFINIDO,La Paz,ACTIVO
C00092,2026-06-13,DEPENDIENTE,Empresa 229,Transporte,Director,16,11077.06,INDEFINIDO,La Paz,ACTIVO
C00093,2026-03-06,DEPENDIENTE,Empresa 152,Transporte,Gerente,125,9327.27,PLAZO_FIJO,La Paz,ACTIVO
C00094,2026-02-08,DEPENDIENTE,Empresa 255,Agricultura,Analista,150,12256.41,INDEFINIDO,Cochabamba,ACTIVO
C00095,2026-06-08,DEPENDIENTE,Empresa 909,Educacion,Consultor,198,8950.7,TEMPORAL,Potosi,ACTIVO
C00096,2026-05-26,DEPENDIENTE,Empresa 412,Agricultura,Administrador,79,15832.58,PLAZO_FIJO,La Paz,ACTIVO
C00097,2026-01-21,INDEPENDIENTE,Actividad independiente,Construccion,Profesional independiente,163,5137.81,INDEPENDIENTE,Santa Cruz,ACTIVO
C00098,2026-03-16,DEPENDIENTE,Empresa 581,Banca,Consultor,107,9482.81,INDEFINIDO,Santa Cruz,ACTIVO
C00099,2026-07-22,DEPENDIENTE,Empresa 906,Agricultura,Contador,21,13154.47,PLAZO_FIJO,Oruro,ACTIVO
C00100,2026-07-31,DEPENDIENTE,Empresa 372,Construccion,Gerente,142,5984.55,INDEFINIDO,La Paz,ACTIVO
